label,cleaned_message
0,forget tell want need crave love sweet arabian steed mmmmmm yummi
1,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
0,see
0,great hope like man well endow ltgt inch
0,callsmessagesmiss call
0,didnt get hep b immunis nigeria
0,fair enough anyth go
0,yeah hope tyler cant could mayb ask around bit
0,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
0,think first time saw class
0,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
0,k fyi x ride earli tomorrow morn he crash place tonight
0,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,know mallika sherawat yesterday find lturlgt
1,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss
0,sorri ill call later meet
0,tell reach
0,yesgauti sehwag odi seri
0,gonna pick 1 burger way home cant even move pain kill
0,ha ha ha good joke girl situat seeker
0,part check iq
0,sorri roommat took forev ok come
0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
1,valu custom pleas advis follow recent review mob award å£1500 bonu prize call 09066364589
0,today song dedic day song u dedic send ur valuabl frnd first rpli
1,urgent ur award complimentari trip eurodisinc trav acoentry41 å£1000 claim txt di 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj
1,hear new divorc barbi come ken stuff
0,plane give month end
0,wah lucki man save money hee
0,finish class
0,hi babe im home wanna someth xx
0,kkwhere youhow perform
0,u call
0,wait machan call free
0,that cool gentleman treat digniti respect
0,like peopl much shi pa
0,oper ltgt
0,still look job much ta earn
0,sorri ill call later
0,k call ah
0,ok way home hi hi
0,place man
0,yup next stop
0,call later dont network urgnt sm
0,real u get yo need 2 ticket one jacket im done alreadi use multi
0,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro
0,im realli still tonight babe
0,ela kanoil download come wen ur free
0,yeah donû÷t stand close tho youû÷ll catch someth
0,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff42moro includ time sheet sorri
0,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
1,pleas call custom servic repres 0800 169 6031 10am9pm guarante å£1000 cash å£5000 prize
0,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
1,free rington wait collect simpli text password mix 85069 verifi get usher britney fml
0,watch telugu moviewat abt u
0,see finish load loan pay
0,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
0,pleas dont text anymor noth els say
0,okay name ur price long legal wen pick u ave x am xx
0,im still look car buy gone 4the drive test yet
0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
0,umma life vava umma love lot dear
0,thank lot wish birthday thank make birthday truli memor
0,aight ill hit get cash
0,would ip address test consid comput isnt minecraft server
0,know grumpi old peopl mom like better lie alway one play joke
0,dont worri guess he busi
0,plural noun research
0,go dinnermsg
0,im ok wif co like 2 tri new thing scare u dun like mah co u said loud
1,gent tri contact last weekend draw show å£1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
0,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
0,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went
1,winner u special select 2 receiv å£1000 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18
0,goodo ye must speak friday eggpotato ratio tortilla need
0,hmmmi uncl inform he pay school directli pl buy food
1,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
1,urgent mobil award å£2000 bonu caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm
0,new address applespairsal malarki
1,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app
0,go sao mu today done 12
0,ìï predict wat time ìll finish buy
0,good stuff
0,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
0,room
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,kkhow much cost
0,im home
0,dear call tmorrowpl accomod
0,first answer question
1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 å£150 sptyron
1,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31pmsg150p
0,haf msn yijuehotmailcom
0,call meet
0,check room befor activ
1,youll rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri
0,got c lazi type forgot ì lect saw pouch like v nice
0,k text your way
0,sir wait mail
0,swt thought nver get tire littl thing 4 lovabl person cozsomtim littl thing occupi biggest part heart gud ni8
0,know pl open back
0,ye see ya dot
0,what staff name take class us
1,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end
0,ummmawil call check inour life begin qatar pl pray hard
0,ki delet contact
0,sindu got job birla soft
0,wine flow im never
0,yup thk cine better co need 2 go 2 plaza mah
0,ok ur typic repli
0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
0,aaooooright work
0,im leav hous
0,hello love get interview today happi good boy think mear miss
1,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri
1,winner u special select 2 receiv å£1000 cash 4 holiday flight inc speak live oper 2 claim 0871277810810
0,keep safe need miss alreadi envi everyon see real life
0,new car hous parentsi new job hand
0,im love im excit day spend make happi
1,pl stop bootydeli 32f invit friend repli yes434 no434 see wwwsmsacubootydeli stop send stop frnd 62468
1,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internetservic menu
0,place ur point e cultur modul alreadi
1,urgent tri contact last weekend draw show å£900 prize guarante call 09061701939 claim code s89 valid 12hr
0,hi frnd best way avoid missunderstd wit belov one
0,great escap fanci bridg need lager see tomo
0,ye complet formclark also utter wast
0,sir need axi bank account bank address
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
0,time come later
0,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
0,well im gonna finish bath goodfin night
0,let know youv got money carlo make call
0,u still go mall
0,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth
0,text doesnt repli let know log
0,hi spoke maneesha v wed like know satisfi experi repli toll free ye
0,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend
0,lol u trust
0,ok gentleman treat digniti respect
0,guy close
0,go noth greatby
0,hello handsom find job lazi work toward get back net mummi where boytoy miss
0,haha awesom minut
1,pleas call custom servic repres freephon 0808 145 4742 9am11pm guarante å£1000 cash å£5000 prize
0,got xma radio time get
0,ju reach home go bath first si use net tell u finish k
1,uniqu enough find 30th august wwwareyouuniquecouk
0,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week
0,hi final complet cours
0,stop howev suggest stay someon abl give or everi stool
0,hope youv settl new school year wishin gr8 day
0,gud mrng dear hav nice day
0,u got person stori
0,hamster dead hey tmr meet 1pm orchard mrt
0,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
0,found enc ltgt
0,sent ltgt buck
0,hello darlin ive finish colleg txt u finish u love kate xxx
0,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt
0,goodmorn sleep ga
0,u call alter 11 ok
0,ìï say like dat dun buy ericsson oso cannot oredi lar
0,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went
0,aight yo dat straight dogg
0,pleas give us connect today ltdecimalgt refund bill
0,shoot big load get readi
0,what bruv hope great break reward semest
0,home alway chat
0,kkgoodstudi well
0,yup ì noe leh
0,sound great home
0,final match head toward draw predict
0,tire havent slept well past night
0,easi ahsen got select mean good
0,take exam march 3
0,yeah think use gt atm regist sure there anyway help let know sure readi
0,ok prob take ur time
0,os call ubandu run without instal hard diskyou use os copi import file system give repair shop
0,sorri ill call later
0,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
1,500 new mobil 2004 must go txt nokia 89545 collect todayfrom å£1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,would realli appreci call need someon talk
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari
0,hey compani elama po mudyadhu
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
0,dear good morn
0,get gandhipuram walk cross cut road right side ltgt street road turn first right
0,dear go rubber place
0,sorri batteri die yeah im
0,yesher tv alway avail work place
1,text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recdthirtyeight penc
0,print oh ltgt come upstair
0,ill littl closer like bu stop street
0,youwhen wil reach
0,new theori argument win situat lose person dont argu ur friend kick amp say im alway correct
1,u 447801259231 secret admir look 2 make contact ufind rreveal think ur specialcal 09058094597
0,tomarrow final hear laptop case cant
0,pleassssssseeeee tel v avent done sportsx
0,okay shine meant sign sound better
0,although told u dat im baig face watch realli like e watch u gave co fr u thanx 4 everyth dat uve done today im touch
0,u dont rememb old commerci
0,late said websit didnt dont slipper
0,ask call ok
0,kalli wont bat 2nd inning
0,didnt work oh ok goodnight ill fix readi time wake dearli miss good night sleep
1,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16
0,ranjith cal drpd deeraj deepak 5min hold
0,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da
0,doinghow
0,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff
0,im back lemm know your readi
0,dont necessarili expect done get back though im headin
0,mmm yummi babe nice jolt suzi
0,lover need
1,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705
0,iû÷m park next mini come today think
0,yup
0,anyway im go shop co si done yet dun disturb u liao
0,luton 0125698789 ring ur around h
1,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698
0,dint come us
0,wana plan trip sometm
0,sure yet still tri get hold
1,ur rington servic chang 25 free credit go club4mobilescom choos content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt
0,evo download flash jealou
1,rington club get uk singl chart mobil week choos top qualiti rington messag free charg
0,come mu sort narcot situat
0,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay
1,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 infowww100percentrealcom
0,usf guess might well take 1 car
0,object bf come
0,thanx
0,tell rob mack gf theater
0,awesom ill see bit
0,sent type food like
0,done hand celebr full swing yet
0,got call tool
0,wen u miss someon
0,ok ask money far
0,oki
0,yeah think usual guy still pass last night get ahold anybodi let know ill throw
0,k might come tonight class let earli
0,ok
0,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx
0,life mean lot love life love peopl life world call friend call world ge
0,dearshal mail tonitebusi streetshal updat toniteth look okvarunnathu edukkukaye raksha ollubut good one real sens
0,hey told name gautham ah
0,haf u found feel stupid da v cam work
0,oop 4 got bit
0,much buzi
0,accident delet messag resend pleas
1,tmobil custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 3680offer end 28thfebtc appli
0,unless situat go gurl would appropri
0,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pl send messag
0,need coffe run tomoc believ time week alreadi
0,awesom rememb last time got somebodi high first time diesel v
0,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi
0,oh way food fridg want go meal tonight
0,womdarful actor
1,sm ac blind date 4u rodds1 21m aberdeen unit kingdom check httpimg sm acwicmb3cktz8r74 blind date send hide
0,yup remb think book
0,jo ask u wana meet
0,lol ye friendship hang thread caus u wont buy stuff
1,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468
0,garag key arent bookshelf
0,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi
1,think ur smart win å£200 week weekli quiz text play 85222 nowtc winnersclub po box 84 m26 3uz 16 gbp150week
0,say hell give call friend got money he definit buy end week
0,hi way u 2day normal waythi real ur uniquei hope know u 4 rest mylif hope u find wot lost
0,made day great day
0,kkadvanc happi pongal
0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,realli dude friend im afraid
1,decemb mobil 11mth entitl updat latest colour camera mobil free call mobil updat co free 08002986906
0,coffe cake guess
0,merri christma babe love ya kiss
0,hey dont go watch x men lunch haha
0,cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 1 pete x
0,would great well guild could meet bristol road somewher get touch weekend plan take flight good week
0,problem
0,callsmessagesmiss call
0,hi dahow today class
0,id say that good sign well know track record read women
0,cool text your park
0,im read text sent meant joke read light
0,kkapo kgood movi
0,mayb could get book tomo return immedi someth
1,call germani 1 penc per minut call fix line via access number 0844 861 85 85 prepay direct access
0,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor
1,valentin day special win å£1000 quiz take partner trip lifetim send go 83600 150pmsg rcvd custcare08718720201
0,tadaaaaa home babe still
0,cool come havent wine dine
0,sleepingand surf
0,sorri ill call later
0,u call right call hand phone
0,ok that great thanx lot
0,take post come must 1000 text happi read one wiv hello carolin end favourit bless
0,u hide stranger
0,interest like
0,sister clear two round birla soft yesterday
0,gudnitetcpractic go
0,di yiju ju saw ur mail case huim havent sent u num di num
0,one small prestig problem
1,fanci shag dointerest sextextukcom txt xxuk suzi 69876 txt cost 150 per msg tnc websit x
0,check realli miss see jeremiah great month
0,nah cant help ive never iphon
0,your car hour half im go apeshit
0,today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault im basic good
0,yo guy ever figur much need alcohol jay tri figur much safe spend weed
0,ltgt ish minut 5 minut ago wtf
0,thank callingforgot say happi onam sirjii fine rememb met insur personmeet qatar insha allahrakhesh ex tata aig join tisscotays
1,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16
1,ur cashbal current 500 pound maxim ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422land roww1j6hl
0,im actor work work even sleep late sinc im unemploy moment alway sleep late your unemploy everi day saturday
0,hello got st andrewsboy long way cold keep post
0,ha ha cool cool chikku chikkudb
0,oh ok prob
0,check audrey statu right
0,busi tri finish new year look forward final meet
0,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway
0,well know z take care worri
1,updatenow xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402 call2optoutf4q
1,discount code rp176781 stop messag repli stop wwwregalportfoliocouk custom servic 08717205546
0,wat uniform get
0,cool text your readi
0,hello boytoy geeee miss alreadi woke wish bed cuddl love
0,spoil bed well
0,im go bath msg next ltgt min
0,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay
1,thank rington order refer t91 charg gbp 4 per week unsubscrib anytim call custom servic 09057039994
0,say happen
0,could seen mei didt recognis face
0,well there lot thing happen lindsay new year sigh bar ptbo blue heron someth go
0,keep payasam rinu bring
0,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak
0,guess that worri must know there way bodi repair im quit sure shouldnt worri well take slow first test guid ovul relax noth youv said reason worri ill keep followin
0,yeah sure give coupl minut track wallet
0,hey leav big deal take care
0,hey late ah meet 945
1,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402 call2optoutn9dx
0,took mr owl 3 lick
0,custom place call
0,mm time dont like fun
1,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt
0,yup lunch buffet u eat alreadi
0,huh late fr dinner
0,hey sat go intro pilat kickbox
0,morn ok
0,ye think offic lap room think that last day didnt shut
0,pick bout 730ish time go
0,perform award calcul everi two monthnot current one month period
0,actual sleep still might u call back text gr8 rock si send u text wen wake
0,alway put busi put pictur ass facebook one open peopl ive ever met would think pictur room would hurt make feel violat
0,good even sir al salam wahleykkumshar happi newsbi grace god got offer tayseertissco joinedhop fineinshah allahmeet sometimerakheshvisitor india
0,hmmmkbut want chang field quickli dai wanna get system administr network administr
1,free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone 3xå£150pw eå£nd txt stop
0,dear chechi talk
0,hair cream ship
0,none that happen til get though
0,yep great loxahatche xma tree burn ltgt start hour
0,haha get use drive usf man know lot stoner
0,well slightli disastr class pm fav darl hope day ok coffe wld good cant stay late tomorrow time place alway
0,hello good week fanci drink someth later
0,headin toward busetop
0,messagesom text miss sendernam miss number miss sentdat miss miss u lot that everyth miss sent via fullonsmscom
0,come room point iron plan weekend
0,co want thing
0,oki ill go yan jiu skip ard oso go cine den go mrt one blah blah blah
0,bring home wendi
1,100 date servic call 09064012103 box334sk38ch
0,whatsup dont u want sleep
0,alright new goal
1,free entri å£250 weekli competit text word win 80086 18 tc wwwtxttowincouk
0,alright ill head minut text meet
1,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p
0,yesfrom last week im take live call
1,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p
0,siva hostel aha
1,urgent mobil number award å£2000 prize guarante call 09058094455 land line claim 3030 valid 12hr
0,send ur friend receiv someth ur voic speak express 1childish 2naughti 3sentiment 4rowdi 5ful attitud 6romant 7shi 8attract 9funni ltgt irrit ltgt lovabl repli
0,ok shell ok guess
0,aathiwher dear
0,pain urin thing els
0,7 esplanad ì mind give lift co got car today
0,wnt buy bmw car urgentlyit vri urgentbut hv shortag ltgt lacsther sourc arng di amt ltgt lacsthat prob
0,home watch tv lor
0,usual take fifteen fuck minut respond ye question
1,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil 16 close 300603 post bcm4284 ldn wc1n3xx
0,book ticket pongal
0,avail im like right around hillsborough amp ltgt th
0,messag sent askin ltgt dollar shoul pay ltgt ltgt
0,ask g iouri ive told stori like ten time alreadi
0,long applebe fuck take
0,hi hope u get txtjourney hasnt gdnow 50 min late think
0,like love arrang
0,yesh realli greatbhaji told kalli best cricket sachin worldveri tough get
0,suppos wake gt
0,oic saw tot din c found group liao
0,sorri ill call later
0,hey hey wereth monkeespeopl say monkeyaround howdi gorgeou
0,sorri batteri die come im get gram where place
0,well done blimey exercis yeah kinda rememb wot hmm
0,wont get concentr dear know mind everyth
0,lol made plan new year
0,10 min later k
0,hank lotsli
0,thank hope good day today
0,kkwhat detail want transferacc enough
0,ok tell stay yeah tough optimist thing improv month
1,loan purpos å£500 å£75000 homeown tenant welcom previous refus still help call free 0800 1956669 text back help
0,si si think ill go make oreo truffl
0,look ami ure beauti intellig woman like u lot know u donåõt like like donåõt worri
0,hope that result consist intellig kind start ask practicum link keep ear open best ttyl
0,120 call cost guess isnt bad miss ya need ya want ya love ya
0,go thru differ feelingwav decis cope individualtim heal everyth believ
0,u go phone gonna die stay
0,great never better day give even reason thank god
1,upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 9153 offer end 26th juli tc appli optout avail
0,sorri ill call later ok bye
0,ok way railway
0,great princess love give receiv oral doggi style fave posit enjoy make love ltgt time per night
0,dont put stuff road keep get slipperi
0,go ride bike
0,yup need ill ju wait 4 e rain 2 stop
0,mani compani tell languag
1,okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm
0,long sinc scream princess
0,noth meant money enter account bank remov flat rate someon transfer ltgt account ltgt dollar got remov bank differ charg also differb sure trust 9ja person send account detail co
1,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network txting moan 69888nyt ec2a 31pmsg150p
0,nice line said broken heart plz dont cum 1 time infront wise trust u good 9t
0,ok im gonna head usf like fifteen minut
0,love aathilov u lot
0,tension ahwhat machiani problem
0,k pick anoth 8th your done
0,whenr guy get back g said think stay mcr
0,almost see u sec
0,yo carlo friend alreadi ask work weekend
0,watch tv lor
0,thank babi cant wait tast real thing
0,chang fb jaykwon thuglyf falconerf
0,win realli 1 side long time
1,free messag activ 500 free text messag repli messag word free term condit visit www07781482378com
0,dear reach railway happen
0,depend qualiti want type sent boy fade glori 6 want ralph mayb 2
0,think ive fix send test messag
0,sorri man account dri would want could trade back half could buy shit credit card
1,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss
0,sorryin meet ill call later
0,class ltgt reunion
0,free nowcan call
0,got meh
0,nope think go monday sorri repli late
0,told accentur confirm true
0,kate jackson rec center 7ish right
0,dear reach room
0,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose
0,ì come
0,check nuerologist
0,lolnic went fish water
1,123 congratul week competit draw u å£1450 prize claim call 09050002311 b4280703 tcsstop sm 08718727868 18 150ppm
0,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat
0,mayb westshor hyde park villag place near hous
0,know how anthoni bring money ive school fee pay rent stuff like that need help friend need
0,what signific
0,opinion 1 2 jada 3 kusruthi 4 lovabl 5 silent 6 spl charact 7 matur 8 stylish 9 simpl pl repli
0,8 latest gs still scroung ammo want give new ak tri
0,prabhaim sorydarealyfrm heart im sori
0,lol ok forgiven
0,nojst chang tat
1,guarante latest nokia phone 40gb ipod mp3 player å£500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18
0,sno competit
1,boltblu tone 150p repli poli mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt
1,credit top httpwwwbubbletextcom renew pin tgxxrz
0,way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri
0,usual person unconsci that children adult may behav abnorm ill call
0,that ebay might less elsewher
0,shall come get pickl
0,gonna go get taco
0,that rude campu
1,urgent mobil award å£2000 bonu caller prize 020903 2nd attempt contact call 08718729755 box95qu
0,hi wont b ard 4 christma enjoy n merri xma
1,today offer claim ur å£150 worth discount voucher text ye 85023 savamob member offer mobil cs 08717898035 å£300 sub 16 unsub repli x
0,ye pretti ladi like singl
1,reciev tone within next 24hr term condit pleas see channel u teletext pg 750
0,jay say your doublefaggot
1,privat 2003 account statement 07815296484 show 800 unredeem sim point call 08718738001 identifi code 41782 expir 181104
0,todaysundaysunday holidayso work
0,gudnitetcpractic go
0,ill late
0,ive call hope l8r malaria know miss guy miss bani big pl give love especi great day
0,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea
0,probabl gonna see later tonight lt
0,mayb fat finger press button doesnt know
0,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
0,tirupur da start offic call
1,wwwapplausestorecom monthlysubscription50pmsg max6month tcsc web age16 2stop txt stop
0,famou quot develop abil listen anyth uncondit without lose temper self confid mean marri
0,go colleg pa els ill come self pa
0,4 oclock mine bash flat plan
0,girl stay bed girl doesnt need recoveri time id rather pass fun coop bed
0,special
0,know need get hotel got invit apologis cali sweet come english bloke weddin
0,sorri took long omw
0,wait ltgt min
0,ok give 5 minut think see btw your alibi cut hair whole time
0,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck
0,hurri ive weeddefici like three day
0,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo
0,ok everi night take warm bath drink cup milk youll see work magic still need loos weight know
0,iû÷ll look fri pan case itû÷ cheap book perhap thatû÷ silli fri pan isnû÷t like book
0,well uv caus mutat sunscreen like essenti theseday
0,lunchyou onlinewhi
0,know friend alreadi told
0,hi princess thank pic pretti
0,aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ahge
0,hi msg meim offic
0,thanx 4 e browni v nice
0,geeeee love much bare stand
1,gent tri contact last weekend draw show å£1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
0,fuck babe miss alreadi know cant let send money toward net need want crave
0,ill call u 2mrw ninish address icki american freek wont stop callin 2 bad jen k eh
0,oooh bed ridden ey think
0,anyway go gym whatev love smile hope ok good day babe miss much alreadi
0,love daddi make scream pleasur go slap ass dick
0,wot u wanna missi
0,yar lor wait 4 mum 2 finish sch lunch lor whole morn stay home clean room room quit clean hee
0,know lab goggl went
0,open door
0,wait call
0,nope wait sch 4 daddi
1,1000 cash 2000 prize claim call09050000327
0,im tire argu week week want ill
0,ìï wait 4 sch finish ard 5
1,mobil number å£5000 claim call us back ring claim hot line 09050005321
0,arngd marriag u r walkin unfortuntli snake bite u bt love marriag danc frnt snake amp sayin bite bite
0,huh earli ì dinner outsid izzit
0,ok anyway need chang said
1,tri contact repli offer 750 min 150 textand new video phone call 08002988890 repli free deliveri tomorrow
0,exwif abl kid want kid one day
0,how scotland hope show jjc tendenc take care live dream
0,tell u headach want use 1 hour sick time
0,dun thk ill quit yet hmmm go jazz yogasana oso go meet em lesson den
0,pete pleas ring meiv hardli gotani credit
0,ya srsli better yi tho
0,im meet call later
1,ur chanc win å£250 wkli shop spree txt shop 80878 tsc wwwtxt2shopcom custcar 08715705022 1x150pwk
1,special select receiv 2000 pound award call 08712402050 line close cost 10ppm 16 tc appli ag promo
1,privat 2003 account statement 07753741225 show 800 unredeem point call 08715203677 identifi code 42478 expir 241004
0,still grand prix
0,met stranger choos friend long world stand friendship never end let friend forev gud nitz
0,great
0,gud mrng dear nice day
